state,rank,income,costofliving,ai
Utah,1," $60,922 ",94," $64,810.64 "
Virginia,2," $64,902 ",101.7," $63,817.11 "
Minnesota,3," $61,481 ",99.7," $61,666.00 "
Colorado,4," $61,303 ",101.6," $60,337.60 "
Wyoming,5," $57,055 ",94.7," $60,248.15 "
North Dakota,6," $59,029 ",99.3," $59,445.12 "
Illinois,7," $57,444 ",97.1," $59,159.63 "
Texas,8," $53,035 ",90.4," $58,667.04 "
Delaware,9," $59,716 ",102.5," $58,259.51 "
Iowa,10," $53,712 ",92.3," $58,192.85 "
Washington,11," $61,366 ",106.1," $57,837.89 "
Kansas,12," $52,504 ",91.1," $57,633.37 "
Maryland,13," $73,971 ",129.1," $57,297.44 "
New Jersey,14," $69,160 ",121.2," $57,062.71 "
New Hampshire,15," $66,532 ",118," $56,383.05 "
Nebraska,16," $52,686 ",93.9," $56,108.63 "
Michigan,17," $49,847 ",89.5," $55,694.97 "
Massachusetts,18," $71,919 ",129.4," $55,578.83 "
Georgia,19," $49,321 ",90," $54,801.11 "
Wisconsin,20," $52,622 ",96.4," $54,587.14 "
Indiana,21," $49,446 ",90.6," $54,576.16 "
Alaska,22," $71,583 ",131.5," $54,435.74 "
Connecticut,23," $70,048 ",129.1," $54,258.71 "
Missouri,24," $48,363 ",90.1," $53,677.03 "
Oklahoma,25," $47,529 ",89.1," $53,343.43 "
Ohio,26," $49,308 ",92.7," $53,190.94 "
Idaho,27," $47,861 ",90.8," $52,710.35 "
Pennsylvania,28," $53,234 ",102.1," $52,139.08 "
Arizona,29," $50,068 ",96.6," $51,830.23 "
South Dakota,30," $50,979 ",100.2," $50,877.25 "
Nevada,31," $51,450 ",101.6," $50,639.76 "
Tennessee,32," $44,361 ",89.7," $49,454.85 "
North Carolina,33," $46,556 ",94.5," $49,265.61 "
Louisiana,34," $44,555 ",93.8," $47,500 "
Florida,35," $47,463 ",100.4," $47,273.90 "
Alabama,36," $42,830 ",90.6," $47,273.73 "
Montana,37," $46,328 ",98," $47,273.47 "
Arkansas,38," $41,262 ",87.9," $46,941.98 "
District of Columbia,39," $71,648 ",153.3," $46,737.12 "
Mississippi,40," $39,680 ",85," $46,682.35 "
New Mexico,41," $44,803 ",96.2," $46,572.77 "
California,42," $61,933 ",136.3," $45,438.74 "
Kentucky,43," $42,958 ",94.6," $45,410.15 "
South Carolina,44," $45,238 ",100.5," $45,012.94 "
New York,45," $58,878 ",131.1," $44,910.76 "
Vermont,46," $54,166 ",120.7," $44,876.55 "
Rhode Island,47," $54,891 ",123.2," $44,554.38 "
West Virginia,48," $41,059 ",95.3," $43,083.95 "
Maine,49," $49,462 ",115," $43,010.43 "
Oregon,50," $51,075 ",127.3," $40,121.76 "
Hawaii,51," $69,592 ",187.7," $37,076.19 "
