id,state,rank,happines_score,wellbeing_rank,workenv_rank,comenv_rank
UT,Utah,1,71.02,4,1,2
MN,Minnesota,2,69.09,1,9,5
ND,North Dakota,3,67.95,11,2,1
HI,Hawaii,4,66.63,2,20,3
CO,Colorado,5,61.59,3,18,36
ID,Idaho,6,60.93,24,3,4
IA,Iowa,7,60.92,14,5,14
NE,Nebraska,8,60.65,12,8,18
SD,South Dakota,9,60.08,9,6,35
CA,California,10,59.96,5,37,6
NH,New Hampshire,11,59.5,7,21,16
WA,Washington,12,59.26,20,13,7
WY,Wyoming,13,59.24,17,19,8
VT,Vermont,14,58.01,10,22,30
WI,Wisconsin,15,57.8,19,17,11
MA,Massachusetts,16,57.42,15,26,17
CT,Connecticut,17,57.04,13,39,12
DC,District of Columbia,18,57.01,8,35,26
DE,Delaware,19,57.01,21,7,31
NJ,New Jersey,20,56.82,6,42,24
VA,Virginia,21,56.61,22,23,10
MT,Montana,22,55.49,25,4,42
MD,Maryland,23,55.14,16,39,22
KS,Kansas,24,54.55,23,15,40
IL,Illinois,25,52.6,26,41,23
NY,New York,26,52.54,27,44,13
RI,Rhode Island,27,52.37,31,33,15
AK,Alaska,28,52.23,18,38,46
TX,Texas,29,52.23,33,27,20
NC,North Carolina,30,52.16,32,30,21
AZ,Arizona,31,51.51,28,31,38
OR,Oregon,32,51.4,36,16,29
ME,Maine,33,51.32,30,36,27
PA,Pennsylvania,34,49.98,38,32,9
FL,Florida,35,49.14,29,45,41
NV,Nevada,36,48.23,35,43,32
GA,Georgia,37,47.43,34,47,37
SC,South Carolina,38,47.06,39,29,25
OH,Ohio,39,46.04,42,25,19
IN,Indiana,40,45.94,44,12,33
NM,New Mexico,41,45.02,37,51,43
MO,Missouri,42,44.58,41,14,47
MI,Michigan,43,44.17,40,24,49
OK,Oklahoma,44,41.36,47,10,39
TN,Tennessee,45,39.96,45,28,45
LS,Louisiana,46,39.03,43,50,50
AR,Arkansas,47,38.22,49,11,48
MS,Mississippi,48,36.05,46,34,51
KY,Kentucky,49,35.08,50,46,34
AL,Alabama,50,34.15,48,49,44
WV,West Virginia,51,32.65,51,48,28
