state,rank,median_income
Maryland,1,"$73,971 "
Massachusetts,2,"$71,919 "
District of Columbia,3,"$71,648 "
Alaska,4,"$71,583 "
Connecticut,5,"$70,048 "
Hawaii,6,"$69,592 "
New Jersey,7,"$69,160 "
New Hampshire,8,"$66,532 "
Virginia,9,"$64,902 "
California,10,"$61,933 "
Minnesota,11,"$61,481 "
Washington,12,"$61,366 "
Colorado,13,"$61,303 "
Utah,14,"$60,922 "
Delaware,15,"$59,716 "
North Dakota,16,"$59,029 "
New York,17,"$58,878 "
Illinois,18,"$57,444 "
Wyoming,19,"$57,055 "
Rhode Island,20,"$54,891 "
Vermont,21,"$54,166 "
Iowa,22,"$53,712 "
United States,23,"$53,657 "
Pennsylvania,24,"$53,234 "
Texas,25,"$53,035 "
Nebraska,26,"$52,686 "
Wisconsin,27,"$52,622 "
Kansas,28,"$52,504 "
Nevada,29,"$51,450 "
Oregon,30,"$51,075 "
South Dakota,31,"$50,979 "
Arizona,32,"$50,068 "
Michigan,33,"$49,847 "
Maine,34,"$49,462 "
Indiana,35,"$49,446 "
Georgia,36,"$49,321 "
Ohio,37,"$49,308 "
Missouri,38,"$48,363 "
Idaho,39,"$47,861 "
Oklahoma,40,"$47,529 "
Florida,41,"$47,463 "
North Carolina,42,"$46,556 "
Montana,43,"$46,328 "
South Carolina,44,"$45,238 "
New Mexico,45,"$44,803 "
Louisiana,46,"$44,555 "
Tennessee,47,"$44,361 "
Kentucky,48,"$42,958 "
Alabama,49,"$42,830 "
Arkansas,50,"$41,262 "
West Virginia,51,"$41,059 "
Mississippi,52,"$39,680 "
Puerto Rico,53,"$18,928 "
